text	vaccine	attitude	side_effects
1- After watching Dope Sick and independently digging into “big pharma” I have a lot of questions for Pharmaceutical CO’s , NIH, CDC, FDA and Gov officials. What kind of $ grab is this? #Pfizer made roundup, Gov agencies approved it, #Pfizer also makes the chemo to treat those	Pfizer	Neutral	None
I literally had a mild temp for a day - sleepless night - a mild cold for 3 days. Got it post vaccine. I’ve been double vaxxed and the second Jab made me feel worse than the coof. The AstraZeneca vax is more conventional so suppose it takes edge off	AstraZeneca	Neutral	Tiredness,Chills
After a lovely day with only some pain in the vaccination arm at night, I woke up this morning at 5, because everything hurts. Can't cancel today's online session so hope paracetamol and a bevvy of vitamins will power me through. #covidvaccine #PfizerVaccine	Pfizer	Neutral	Muscle Pain
I too had two Moderna shots a booster of Pfizer recently, had chest pain for 3 weeks after my booster. I tested positive for COVID yesterday, went to the ER to got some antibodies & then to the pharmacy to get some steroids, an inhaler & cough suppressant. Chest X-ray is clear.	Pfizer	Neutral	Muscle Pain
I too had two Moderna shots a booster of Pfizer recently, had chest pain for 3 weeks after my booster. I tested positive for COVID yesterday, went to the ER to got some antibodies & then to the pharmacy to get some steroids, an inhaler & cough suppressant. Chest X-ray is clear.	Moderna	Neutral	Muscle Pain
The PAIN in my arm from this booster. Moderna has fucked me all the way up. My arm. Is finished.	Moderna	Negative	Muscle Pain
I had my second Astra Zeneca vaccine shot yesterday. No side effects, nor were there with the first shot. I do feel a bit tired though today (yawning), but that might be just my habitual insomnia. This is frustrating because I can't milk it for TLC!	AstraZeneca	Neutral	Tiredness
Incoherent. Bill Gates' approach has led to dozens of viable vaccine candidates at a range of prices available worldwide. OTOH, China state-sponsored approach with Sinovac put all eggs in one basket with only 50% success rate. Absurd to claim current shortages are due to IP law.	Sinovac	Neutral	None
As a retired GP, aged 71 and half vaccinated with AZ, I would strongly advise anyone young to WAIT FOR PFIZER because you have very low risk of dying from Covid, and a real risk from AZ. A tough one, and all because our PM stuffed up vaccine supplies.	Pfizer	Positive	None
As a retired GP, aged 71 and half vaccinated with AZ, I would strongly advise anyone young to WAIT FOR PFIZER because you have very low risk of dying from Covid, and a real risk from AZ. A tough one, and all because our PM stuffed up vaccine supplies.	AstraZeneca	Negative	None
